Title,Company,Location,SalaryFit Score,Response Probability,Missing Skills,Verdict,URL
Full-Stack Engineer (React / Next.js / Node.js),Salmon Bank (Rural Bank),European Union (Remote),$80/hr - $110/hr,15,5,TypeScript | React | Next.js | Node.js | NestJS | Redux Toolkit | GraphQL | Jest | Cypress/Playwright | Frontend development | Full-stack web development,Do not apply - this is a complete skill mismatch requiring full-stack web development expertise that the candidate has never demonstrated.,https://www.linkedin.com/jobs/view/4387645907/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=3pr621P44q712XlzSV1QjA%3D%3D&trackingId=1mtTyZNYaTbdtfZ%2FIZhRVg%3D%3D&trk=flagship3_search_srp_jobs
IT-Projektassistent:in,ÖBB,"Favoriten, Vienna, Austria (On-site)",,15,5,Project management experience | MS Office proficiency | German language skills | Stakeholder coordination | Project controlling | Administrative support experience,Don't apply - you're massively overqualified for this entry-level administrative role and lack the German language skills and project coordination experience they specifically want.,https://www.linkedin.com/jobs/view/4389586625/?eBP=CwEAAAGdIiLqssNHKlvkLi6YLUEm3UzHmC40PYrf6HNtyL-Ki2kPqFoGkBb035hCw6iTAXJVWIlew-L2yY9zJbxt4oRfEd2mqeaaTUkAKL157Go3BYk1l8lpruarREKGCpirakYWELIkYZIthf4_HVUWb8XRj3wxWofq7K9F1-KS3ZAkJD4iClbiUIRJmN6QC6QnMhHWfgJfccmbuOr2MjDQSe_1Rt1hGm1JJGw_Hov8n81lCAiKGLMmRQJ5r0VCiH4Bdw1iWmObB0Cnkbvh6-YakwUYBSRro9HcFfKJ99HRpTZOHyTHAv8JkK97fLrSiiwONoMmOj1ogSn2M0gqWoODaxez3i6DfIBEJ1Hb8D0zrBMP16bdn8B3sZTSevgNU9I_vF0oxu95dUB3SNMCD-ZUek-Fnp6geGsvdyV-4gjFLF1XP16BxfNKiCCeaMkcq3REZvJveITrUI5illrhUIzlQgskA7VqlxzV2hbK4tSRDHgxTBizbLB3mzcJK8upESWpVURDRvxmvUTP-l7e6hxnpGTe6tCWCttmxF_upxg&refId=dRwmyNCy4TLVKYx497xfJg%3D%3D&trackingId=K%2FsKjdwJ673Cdo9sBGxWVA%3D%3D&trk=flagship3_search_srp_jobs
Lead Fullstack Engineer (.NET),SQUER,"Vienna, Austria (Hybrid)","Our employees are our most valuable asset, which is why we honour their exceptional work with not only a variety of benefits, but also a fair annual salary starting at € 75.000,- including over time - with the possibility of overpayment depending on qualifications and experience.",15,5,Frontend frameworks (Angular/React/Vue.js) | .NET Core backend development | JavaScript/TypeScript | Fullstack web development | Software architecture design | Client consulting experience | German language fluency | Team leadership/mentoring,"Should not apply - this is a senior fullstack consulting role requiring extensive web development expertise the candidate completely lacks, plus German fluency for client work.",https://www.linkedin.com/jobs/view/4389821259/?eBP=CwEAAAGdIiLqssgwGKmAGUSKcSMJcvsgh-acsU8dTJrOuH9QOXdiBbxlSDN7dgM0b3H9P5ykYfKl7bqUkHPFim79f69Dvp5us6JFzUAt8p9dF-PW3b8QWxMkiwBY_YlC51SlNDMaVmolHll6vcJi4IGUHqQ4gOPYBRddzHAHXrecQ0o83Y-eYjlvaBZMmHuujn42np-RCrnOY9qetVPeTBnTLEvxgWzOJISzEkxug6qJe9Lu7QbEBCZf6IlbdFfSx9AIto1uGOhqH4maQaVzbygH1akwJI85jiZ2ruKnPvMyvzIHoqYMrGqfkdZIYJe0kJqX3Jq9jdYF4w-Xseo8NBFMyxZWLJucCd2yi197qrsW1IMpg3txUuFYZNyM7I2_QGDS9lyBEMrLRTtY4j9DRYTQ84B7hdZLObA2jAkkKW4HOYI5mZ5Y5DFHQntZQl-H2weX_pZY387uX111KJ1LUbW43vrEqDtU5PlZ0NLueiMyhwUBP3TLRujrF9g&refId=dRwmyNCy4TLVKYx497xfJg%3D%3D&trackingId=eilTq7t4lkpn0mHD94LV9Q%3D%3D&trk=flagship3_search_srp_jobs
Electronics Components Engineer (all genders),Beyond Gravity,"Vienna, Vienna, Austria",,15,5,M.Sc. Electrical Engineering/Engineering Physics | EEE component knowledge | Electrical hardware design | Component selection and qualification | DPA/CA testing methods | Supplier management | Trade compliance (ITAR/EAR) | Production support and failure analysis,"Should not apply - this is a fundamental career pivot requiring electrical engineering expertise the candidate doesn't demonstrate, and Beyond Gravity will likely receive many qualified EE candidates.",https://www.linkedin.com/jobs/view/4389770724/?eBP=CwEAAAGdIiLqsnuLRpJTcmwFtN0j6qpID_6j-_HSCkcoMnm2mLkxpzgmO_ddOFoZm7pooK10KS8ofSriKGhPUtcyy7_8ci9ILIMBsRWrs6IqLuiEIzH94Hbnhe4dPyjazHvZ0qGfBf10h6Ql4ZnwZzR6ffbSsqUTYk80IHp7GdaQUzRPkmAg6yA2Rk89VdT7V3vRFzH-g12ekTFb4meRMBNy3Y6puGBfVqtv0NwjEXkFwHzAwpaDhyBDZ--cewlRaVzTN9te6CSgxgBAoQPK1owZIfE6RGhagtFh0oZ-Up0IZtuppGTAX9HwVzsaGC5JXNW-C6Gk-HM2FJ7dM_afyBVFacJX8eH7WDtn7QYxoXI63cf1xo5i2R7xcix9Bu1y_icwBZmfnfHzfKF4pE3ugAz3LqHPA8eXBaQA1oBKQDiP9KYnZzwZWUGRaScrSZB2wVkPP2h5wPUH2phMuYoANRwOSGpJa-ycWeER7xb6WiCFuqLTgaTU2fz2Yx0&refId=dRwmyNCy4TLVKYx497xfJg%3D%3D&trackingId=71xBj6V9PXRfi2mEoATJdg%3D%3D&trk=flagship3_search_srp_jobs
Junior Web Application ManagerIn (m/w/d),Raiffeisen Informatik GmbH & Co KG,"Vienna, Vienna, Austria (Hybrid)",,15,5,Web/application server administration | Windows server management | Customer support experience | German fluency | IT infrastructure troubleshooting | Configuration management | Phone/email support,This candidate should not apply - they're overqualified in ML/research but completely lack the web application management and customer support experience this operations role requires.,https://www.linkedin.com/jobs/view/4389748562/?eBP=CwEAAAGdIiLqsmSubbbQg2x1EeasGDjeIetmHWo3k_v819zbJNLO7Nmb0T0SSHe1fV7tecl7LZOBthSX9NzQyIgvhwTRMACcukdlWmhP5n-78y9IidR1n8p7k23pM3ncA-WbM88q-1DfLpf0PK-Sbz4mFhY2XDE1NJcas1aRuLdfICKEPZ1zMnOIMchpy6FJpBSFZfZc8ZVCP37DlBXS4kCwHy_pY6zv72Hceo9st9KIJpqFju2qb7oxv1ms5h2tkLpj7Az4IWXl-H3_nFg6aS1CH72u-di5hNzpZivWC56wJzhpQ9ECpuvL9UQrRO-lIyzBdWt03O7ofOoPrEzBqBwngEqDSBsKYL4I4KOdfQNV4SwLLBlqYrBR7_l0KDDsYYm4V60PxaDyi5QR5i_9PuWSTO-tMcL3quRIs84_-0HeNy_-_4OXYZ54VMFkSoqmAOl4lUKgwA0kIfLvuH1cXsC9kTZvNvx1ozZR6f_CqPCzJXR3Ey9Jq6WK&refId=dRwmyNCy4TLVKYx497xfJg%3D%3D&trackingId=%2FG66rSfFBU%2B9vg4VZ9OJYg%3D%3D&trk=flagship3_search_srp_jobs
Communication Evaluation & Insights Expert (all genders),Erste Group,"Vienna, Austria (Hybrid)",,15,5,5+ years communication analytics experience | KPI frameworks for communication measurement | German fluency | Power BI/Adverity expertise | Social media monitoring tools | Communication/Media degree | External communication experience | Stakeholder reporting experience,"Do not apply - this is a communication analytics role requiring marketing/PR measurement expertise, not an ML engineering position, and the candidate lacks the domain experience and German language requirement.",https://www.linkedin.com/jobs/view/4389742394/?eBP=CwEAAAGdIiLqspXPk2o4zZL7I4OMkyN-xTsbUJi62jgOtJYFCe4becE6lc_MZNMuaLb4MDy8oizDRqAo54IGHDElMaWXkqTbzzJ8MnfISvFavELYKSIwNBrdZZxopSjC73GoVA99v23VBJVi0jcEG-67ERjeXzZtxx23SjjR5tKGxjQlC7854VvAX3YMywQXM_7pgy1LQyz7Nhs4pvr6e8gS7mXGY04UmvVcbbtrzFSoehawLIQeg-ThJaFfSH8V6rIUSJoC05OgxhhU3a_OdD493HmFs6MFclFk9DY5CAVJ-0ryc9Rtj5MPhX_Ix6Y1n1wB0QF2OIYkjyQFMc9Uus4kko3XkH2cBaDmni4Wvasm85HVh7coZxGBCAoMIPIwm6OygV_HTNQLiiDkug05mMnZA7XVn7tRvd4PzspeblDZC4q09FF8qC14YESLrwRMZetVHFTCQ2gnSzLhBPivEk3SRjcJyf6DV_m_w9yEzazInKS0dv9DDo67tdw2Eg&refId=dRwmyNCy4TLVKYx497xfJg%3D%3D&trackingId=qY7NxdkcpZRUz6tJk8X8Sg%3D%3D&trk=flagship3_search_srp_jobs
Market & Pricing Insights - Business Development Manager*in Produktmanagement Retail (m/w/d),UNIQA Insurance Group,"Vienna, Vienna, Austria (Hybrid)",,15,5,Business/Economics degree | Insurance/Banking/Consulting experience | German fluency | Business strategy development | Customer journey management | Omnichannel experience | Management presentations | Cross-functional team leadership | MS Office proficiency,"Do not apply - this is a senior business strategy role in German requiring insurance domain knowledge, while you have a technical research background with beginner German.",https://www.linkedin.com/jobs/view/4389741113/?eBP=CwEAAAGdIiLqstVTAuW248Sc0VOtUk39KJ0YvWVUiJIa4r5E3V8FNZkDVC4UTfu9SibyVbC8iz-dJXYu7phAO_UFXGVnuK2XqJdgoJjVRQXQep9FijXLooPhqmXPdJybshRIJiJKcru1lcjmVi1IB8DbxSjhIle3dtnuZWytOlLr0KPidot8Hy6Q-ju0uis81kBQflxs6gT17wICqGglrFMR7e1L6ZVm9OER8WfK_tYkmv_CM8Tm6DjgT8U1ktKy9xCnwayxr-srz_X4mlo4Lu3JTBMsI057qI86tY_-PryvwfDgFNUA_Fpwyq7ZtrL3cUFndUIKNWZzycCJLetW3kzgH5PjjMgIcvfzLexWU-DTitiQyCJ3JVApXMitgN6Z1JpPNerFWKjX09hBm_kAs6xu0Dfs6PSVXl8Y0ECfkOoLxRUsudtOUQoFJB3WR5_TnjzjOxa5te9ke89hb7SdgbWM5q0Ayu3RolJObDOXSQDyISvMSLKTvrcpJ64&refId=dRwmyNCy4TLVKYx497xfJg%3D%3D&trackingId=DU3trkOtBD714iVhTxTZSA%3D%3D&trk=flagship3_search_srp_jobs
Senior Consultant Prozessberatung im Gesundheitswesen (w/m/d),Pavelka-Denk Personalberatung,"Vienna, Austria (Hybrid)",,15,5,Healthcare/medical domain experience | Business process consulting | BPMN modeling | Change management | Workshop facilitation | German language proficiency | Business administration background | Client-facing consulting experience,"Do not apply - this is a healthcare business consulting role requiring domain expertise, German fluency, and consulting experience that doesn't match your technical ML engineering background.",https://www.linkedin.com/jobs/view/4377867239/?eBP=CwEAAAGdIiLxrRxV_HYJsQrgkBu6-WOO2xL4N1kO8pwSOewvKsieqkXqr8qO92cx1ZZLLWZVN0Z2vCh9xDgNtSeB0ELBiBMj9Au4iXDxix74BX2X82yj4Hcolz76gWfVEJRbBVrrb8CxPYWJc3qLdl0Nu1Dj06OUwv2TGmqPgLF9CXiUVeoqsp1Edh-EINUi-hGTBiBvV4Z6dIQQzm02m7OrQgQJKdGeJmG9sFIuISHc9WiGedDrAwnMej-ZPmyWxzqmCK3ShXsuD3B57ozxd6GIGuS4eZTKznhrw6vD-8JSBM-Bicc1Gfg9jvw5TIwca5zeskTnzO_rPXhqh2Qr6-iFgh0ha_r6LnxPmYAoERmYphVVexP0lryyy-a6ic6S0oJ8Q0abA4pkZYK9z1mD1akzDZ576QqzQXtue5AGKCszmA--XLQ9PXOdaVcNPw4L-pviujqQp5ZlZsMmNBPTlTvDF4ScwgLjxtMD48wVwDWXBcswlFJGkszdsT748xlhsiW91bv_-AKsLsI0FTVPwVltn1blVLRHhB0tOreqAyiyjQ&refId=v%2FR1zKbAsJbyPjNQY7WNSg%3D%3D&trackingId=srqSmJftvLMuO8e9zllLSQ%3D%3D&trk=flagship3_search_srp_jobs
IT Procurement Internship (all genders),VIG IT Digital Solutions,"Vienna, Austria (Hybrid)",,15,5,Current studies in Business/IT | MS Office skills | German proficiency | Procurement/purchasing experience | Commercial background | Market research experience | Cost calculation experience | Vendor evaluation experience,"Do not apply - this is a complete career pivot that requires student status and German proficiency, with zero relevant procurement experience to offset the seniority/background mismatch.",https://www.linkedin.com/jobs/view/4389748096/?eBP=CwEAAAGdIiLxraTUAIGGAOCjvxvykwk0WOLHkvY6LE8FVAn_-3im4dVAi2GZpfX2nTJJfsCBXfcC_jbb8eTbjsKr7rZJpiOb4CNfJrlj2p1myTyzXfY6g0L2_4K-g511Dro_RHS35mm6NxzlzYELhBgK1Sbr1ZRHN3cXBC6PDHym3q0sVg8vL_kBTetPS8DLQPbptk0egh-7vdIibVGEcoVs9TbWa0YX2o6Hov3Aqe-Zc2fw5yC53kpmH3D9PCgXGYpt1E1qx6ovyOoCHq3tcYu8hTvsA46bjBXmm7tDxG2QELbevLqg6c1MmOclJH35AgPHgHIVA0oQ-0BgLRj0rmR5N1Tt-algiq4tR6yU6ATMH_FARRnWGJyPuLMfTx3eSkXwbwwUv1d7h8EdHBNClA0OI8oxXe4uy61kpZ5Ehr_GOPEhm31BMxVIBvqlexn-gNzJRXYb3_e6Qy-2QSwNnOjkmXSbVT_C4g_6G566KxUCdpsz6frCKToo_g-IDUumCXIsfF5jxq2kl_rrnMfi3_8apnyhIkZbJN7_sSklI7Up8g&refId=v%2FR1zKbAsJbyPjNQY7WNSg%3D%3D&trackingId=t1dHLGydICDFYS1cfow1eg%3D%3D&trk=flagship3_search_srp_jobs
"Product Stability Specialist (m/w/d), fixed term for 2 years, Hybrid",Takeda,"Vienna, Vienna, Austria","A competitive remuneration package with a minimum salary of € 4.270,14 gross per month (full-time, collective wage agreement for the chemical industry) - the actual salary depends on your professional experience and qualifications.",15,5,"Pharmaceutical industry experience | Biotechnology product stability management | cGMP compliance | GDP knowledge | Quality systems (investigations, CAPAs, change controls) | Regulatory submission experience | German fluency | Document management systems","Do not apply - this is a complete career pivot into pharma with zero relevant industry experience, missing critical regulatory knowledge, and lacking required German fluency.",https://www.linkedin.com/jobs/view/4385418720/?eBP=CwEAAAGdIiNFjFwjaXRo0AGzE2f_hMwan29mi4LPxNvTVlEMHra1WoMkJAMa_YZSwBXCVV1O3f6SqUeJlO36QQGCvjX3fpA1WjPkx6DBddXFWj9pxIuCitdcqJ8nvoaAxckD8QT44Y-iGQq3_EEvEyipHALyOFbfFewZu_YfbLPa5arEDGzsdLppd9EFsBSaRsHKf2iaVdgozLo6FIVHnB918iAkjH5MOKSHUUs6KbNHtmV-eDTrYNyJ1RVRkn9LrP3ENvqTHbn9xUecsig25PiMuNmjRg71k3Dhwo-D3K7QDg05s0oMyx9gRvL2ueqmRCLSglqo8j8M8OksyEn0ljAHakn_IrYO0EzWANsLPVlhxLkSqNFL6ji4MterraD3JxfcEoiu2HprspwkjZRU2MKmpD3DjaYBG043erHTRNVsetIFYCXHItS6ykWJ3H3Du_R-osZ1b5jQtjrLiXpB8jI16pgmL-KbKhnE-B3ig8nD8RWBtGO8Ok8ybdx9GpRS9C8PzVLcaZ9WORdG3i_9YJyADb5LQ0Gyo3QUr3x5vjE&refId=5KtyKCQGJD4mrmG%2BLGZNkg%3D%3D&trackingId=hzBAKP1RjP842yyGN8HoAQ%3D%3D&trk=flagship3_search_srp_jobs
Werkstudent:in im Bereich Compliance,Siemens,"Vienna, Vienna, Austria (On-site)",,15,5,Business/Law/Economics studies | German fluency | MS Office expertise | Legal/regulatory knowledge | Compliance experience | Document management | Presentation creation,"Do not apply - this is a part-time student compliance role requiring German fluency and business/law studies, while you're an overqualified ML engineer in the wrong field entirely.",https://www.linkedin.com/jobs/view/4389823227/?eBP=CwEAAAGdIiNFjPNJbOEADBdCWAPMHeHONB7a0q4dBnchtPTt3wKgUSWA4Ue7CHn2tq15Vdz0NLs73esHHzqJanyx2BTZ6xtg87AIkW4pjHrF2G3tDNu4PW09ElEZLZL5QF4OAkLNkYEH6gEoh6_xIoRTHHVyFrDFWy9D36Lpb0A0FfyRox7WtQzv2-uXxk5LDIz7h4uHm5STTHZsbsSfCz9MPAM36XTREVb_bBhPlG7nHCvfFw60O_mDCp8ndDMCczcAuu6JSCP2EQagtNiZkGVGuRPHOjbM9TD4IxbvGoYhyfv2K1pPCTrXV4nuHdrLksgWduYP6Gw7t-1V0g0L0pW9-1Omc8hArSo3tLs4s3rmCW_D6eRnvE9C24PqMJ5e3qogIrU7D7BfCR7HU_jaMdVL7sBqMyunK9PQsWfnvJfru4R0qb0ldVbDNF7LdKrXXnxojDUqi7Aqhw0vf2k_HuHdayw8SXQei3KQvXqeVsjPEj2u_v5ZDFlUjpI&refId=5KtyKCQGJD4mrmG%2BLGZNkg%3D%3D&trackingId=Ujba0GAJCZ6jc710nvuKkA%3D%3D&trk=flagship3_search_srp_jobs
Postdoctoral Researcher,Yangzhou University,EMEA (Remote),"💰 Annual Salary: $40,000 – $250,000+ (negotiable)",15,5,Materials Science background | Chemical Engineering knowledge | Polymer Science | Energy Materials | Catalysis expertise | Materials characterization techniques | Green chemistry knowledge,Do not apply - this is a complete field mismatch where the candidate's computational neuroscience background has no relevance to the materials science requirements.,https://www.linkedin.com/jobs/view/4387834398/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=SQUQtFMvRBCrUZBRojyRhw%3D%3D&trackingId=bY%2BE8aBPWBzkOC6AO3iKkg%3D%3D&trk=flagship3_search_srp_jobs
Tutor Mathematics | Physics | Chemistry | Bio | Languages,Eklavya minds,Austria (Remote),,15,5,German B2-C1 level | Teaching/tutoring experience | Austrian curriculum knowledge | Communication skills with students | Pedagogy experience,"Don't apply - this is a complete career pivot requiring German fluency and teaching skills the candidate lacks, making it an extremely poor fit.",https://www.linkedin.com/jobs/view/4384249005/?eBP=CwEAAAGdIiPoSMU7m8qKsN5EgGwxKhZ2ubl-E3DmngUGtCDtOnseg5xKvYZE6F6bU0n0zndIZSoWwHTblHUiielonXZO0VecoMvXLbWgtQfNE2j0Ci5YP7iyY8dfjUgImKFss8h0VBROqlA8j6aYcItReLvhJI7vYvYnTXSJJy0x-YloLbEGZZvTgriUtmcks5zwDtHNJCbM0NwCGwkUTHBFpk9sIzqdBOTOsGzakXBHkVPBLZDBX3EBLd3Ig12hKhaZUygmhcgzn9JBi37h29TO-y2Jvjxld4Qjm9hYw9AvcHCLeYASXX8yUOtUZz1GN5PDgvIHgESWjNucE_nG7CLyK1yWHoYZ-hvPVeAlsv0FaL7atEKKCXEIzta4eJgA3vF21xX6kWcfKJtu5rYZ9j-2_JL9r74zb6TzWROthZBaO2FkPN4HqabV1DIr7mou5-xtjLjm90U5E6nsKL4xjzMwRDjqlby7CdLcLRv88bKssDgiFGmfIfsL4_Uob5ffRZnaUBmxi150raNvd92kmLe0HqepOIU3ChI-sBH8JxE75M2zwwmM80jpA2LC28LmEA&refId=pSEd8dy5lEoBfBbvHVZAlQ%3D%3D&trackingId=Oym6t3WvAuBTkl%2BB0Ohm4Q%3D%3D&trk=flagship3_search_srp_jobs
Industry AI Sales Specialist (f/m/d),Hewlett Packard Enterprise,"Innere Stadt, Vienna, Austria (Hybrid)",,15,5,Enterprise sales experience | Complex B2B sales cycle management | Customer-facing sales role | HPC/AI infrastructure sales | C-level stakeholder engagement | Sales quota achievement | Pipeline management | Deal negotiation and closure | Challenger sales methodology | Industry vertical requirements translation,"Do not apply - this is a senior enterprise sales role requiring proven B2B sales experience, which this research-focused candidate completely lacks.",https://www.linkedin.com/jobs/view/4389267754/?eBP=CwEAAAGdIiPoSJDnlgOdaYdcRQeo0dSKTomZXnkKsvtv9nV-RYqOfnCQimhBihTuTCNq8KvNKR4io_nhVJcqp-2f_TtbSYIsM7mlGbUUFbwbYOXWeeretqLhGZu_ZKcDS2oRQJf2_ldkPiFdxNZmXaznhfSkwGK9WhYG85NXgWQZ7Esubqh9Qco0upAD5tCSVvZ5wEKrUEqVE04kTIc0-pmygL9tt8v4SNjLzRSelKiLxSY_HlYZ9Q9hHCeEyT1e5Qa_X9GwXi5rBEvy_71b6WXgr3NDnIILhOeCefAtQFd_rSqVRPUuEt8k2gE6Jjb9qgBy_5MTw_TV7EpbhbzqaUTxMXegSngoKfNnwFIb0E4PHcF4Zni1DaRSmrTPmkFlvIwSIxzbLqRxHhG9dfrJEJ5SJmFGEktLcvViIKaKWew9FLc8IlmXHPS8WtS-mMfrfknBoAmwoZ2bcewpFc780sKamvUC8L0CV8V26R1Y2u0PhsAxZa7yhwcAbOHFrDsF7X1pNZZMlwsBBQmWS--ZfhsH5tSbBc8sCWWPJw5c&refId=pSEd8dy5lEoBfBbvHVZAlQ%3D%3D&trackingId=FsWHxyNrUE2y%2B7UwEfZq%2BQ%3D%3D&trk=flagship3_search_srp_jobs
Software Engineer (m/f/d),Sportradar,"Vienna, Vienna, Austria (Hybrid)",,15,5,PHP (5+ years) | Symfony framework | Doctrine ORM | Go programming | MySQL/SQL databases | Redis | RabbitMQ | Kubernetes | AWS | GitLab CI/CD | Microservices architecture | gRPC | GraphQL | TDD practices,Do not apply - this is a complete skills mismatch requiring 5+ years PHP/Symfony experience that you lack entirely.,https://www.linkedin.com/jobs/view/4387910519/?eBP=CwEAAAGdIiQ2CeyCPIF4AxAPjVHOvaXpdCQwi_-Py0g0mdwmoNtzBRGEqAHUCTGnXMX5LQtY4Q2enWgfnhTabb0dgvbAnUbEY5GwaFUqRZECoSbZUogIENtI7O2yo8vffJ49rlMlvtKPquhtropO-ymUHhg0z56uqkjk-7XDMBHCSTGUEIet2CWyEXBcgEn3t_ca2bu9IaGRzvs4bomwxeDDsQnKcpUhBUQkV-BrLr1afyOPvGgJsN5-K5eDYuPA1G1tJlPLsFVS1TxYa2dIjoJYUe8zTLI55iOwP1Oi2CymE_IxmFpDxPtJwf0gsNgr879vO3D-KJ9eTBlDdTOGDEniuBoNng1zCVXY0-85rX12Ago8STHzDO_snMaMlAAavAPxJHmNz3Sv_4RZhzFBOp2teH5uQJNOuf5vUcrgieC9oamGQ_3yNc7Cuxw1ZjoTYstnFzv0_4JL4pZ_dsl0cdzx9TyqV9HFLewsxh3oF74YuDpLHJ25yOBsgS160a5TZKVeBHtvqpA_GEQ5EOaU3BGdnD0VoSGyd1OAkKJA3lqjSg&refId=ml%2FcUSoVvfJqr8XQllTeaQ%3D%3D&trackingId=tzy0p4eKIx2ZXqL4A29jYw%3D%3D&trk=flagship3_search_srp_jobs
Manager of Strategic Development (m/f/x),HiTHIUM Energy Storage,European Economic Area (Remote),$100/hr - $100/hr,15,5,Finance/Economics domain expertise | Chinese language proficiency (C1) | Econometric methods | Financial data analysis | Market research | Business/strategic planning background,"Do not apply - this is a finance/economics strategic role requiring C1 Chinese proficiency, not an ML engineering position, making it a complete domain and language mismatch.",https://www.linkedin.com/jobs/view/4384818297/?eBP=CwEAAAGdIiSUGgddXgpGS-eph-Srhmt6EhE9nVdCEDtfz6cG4emfU7bmObqx7f-QLMNW56o52X5cZgNp0Yq8EZSmnOa7-lVxJ4YV25VjDLI_MyLSxtE4cwF7CYyOPxOSPnpU1TVeqwyhqj9pyaRuFFtV-XK72KbDmIUw3TIMPudJvQdN90Fxat1WZ7x1ZDC2fyPes0tjbMbveLOEdlLBnQjufe-3chBTQsYgy5CJIAuf5Pv7Tyx2fNtvGm4NPYsTLuADsjd5Q0MuSSOgsHGGRrVzFhIDF2ytV3g6IC63_SrX-d1dJF90gSaC4vUMOdm76fOzs1XwBoltTKVOOCsSZD8SKaDZO-CWWLS_nqpyvHAPVzIycJ6df8GDSOHWZob0VR9DQrJWdGkAfAqMIE9QUZssbAodBFp8XmtYGBVKvUQEUNEj_smduBD0g8Z25EM0DF1gBHgiaV3VDG9eetUNA1lb2ggiDDFbd4OcTEl83WyQQrVEVxelHLql_NM2nqNCRGfIoClWHJxIRJlXsNziIyU87iBRZWdiNLjaYIpApgrNGhTo&refId=s3VeRXV8sLW3A6SLW4a21w%3D%3D&trackingId=SdIRuO0kdfGEs0%2FV%2Fi1qpA%3D%3D&trk=flagship3_search_srp_jobs
Medical Science Liaison,Sobi - Swedish Orphan Biovitrum AB (publ),"Vienna, Vienna, Austria (Remote)",$38/hr - $43/hr,15,5,Medical/clinical science background | Nephrology experience | Healthcare industry experience | KOL relationship management | German fluency | Medical affairs/MSL experience | Healthcare systems knowledge | Regulatory/compliance experience,Should not apply - this is a complete career pivot from computational research to pharma medical affairs requiring domain expertise and language skills the candidate lacks.,https://www.linkedin.com/jobs/view/4387288056/?eBP=CwEAAAGdIiT8Pzy15RS7J-xZ_32KLS0NZ-_-CCEIjeD1tSuOIjR0LkQwrDnGCTJOtwBf0oe-md-IrdWFVTGtTenkbJ23_hMwSahepjmSs54tuPPbv_Z4X3oJWi8EF1FuG5xgrxgacb3R3bbw8AK2Uz7DKaazooPoTEM3QfFeT5VYJWz2fIQl7cbK0R-coxi8B7haBNyLviFfVkhzeKEpFDM7T7m-AhSA5HZy-IhNXWsAV230KxhxaPiC0bHMqV3Ep-k5Up4gGFbv2pbrtrHpTtv3Oetit1HkCsiNRLHbyFrVZLaMD654rrJ3hblBOvS1StFk_-9U3YklFqvbZaWsy9-VyFHSuOAQhTWdE9DfZ7lWr-SBpY6z2Pz1lq3Uq4EmJcRBmeXt1F4xl8mlwrpTYUlmhfNRp8LonGPo-ClYNjP0vqq_SAAq-1orHuBuXIZQZ1H1OTNUrCsNaMS71PaePt2VTsdj12DtHQ6BS5fR4ISow5I_k8yDjq1xIXKRZfnDSFGmih6vCQWArgSrTwpP7A6K-ve75dJwFugvdPwgisI&refId=3EVLtixERRHS6UhsDWc5bA%3D%3D&trackingId=8h56FrBZBH2thWJe4VHy1w%3D%3D&trk=flagship3_search_srp_jobs
Clinical Data Manager II,Veeda Lifesciences,European Union (Remote),,15,5,Clinical Data Management experience | CDISC/SDTM/ADAM knowledge | ICH/GCP regulations | Medidata Rave | eCRF systems | Clinical trial processes | Medical coding | 21 CFR Part 11,Do not apply - this role requires 3+ years of clinical data management experience and pharmaceutical industry knowledge that this candidate completely lacks.,https://www.linkedin.com/jobs/view/4386649755/?eBP=CwEAAAGdIiT8P5N09zRtpxPwHn-iNaUlQHhBYkP4QkLi6bQ6Y1euRknzGVYHQn6qfIdwEpGQ3GiBFvWDPueVJ81r9CNmrIydAjP6JfLUSwjv44ezefU3muLeLpfLXWCKsDsM6utBgnniUfJuFPi652adsRdl1d5-SWohztkfgcPNhxe2WM6M4tL9o4cPaZWQkq8vrFPd-AYLpqqFv02SmBpmczWNr8_bNA7YbbtyPeyKv0M2s8Qg_g8odjfFdB2DNrsnCJPad-_mfGKvALOCuu6ade1c2nCAOugt0y8BHuVCj34jiO0m-JUoMHbVj_ZKvAj-eGAYwdN1k4Gegl_3PZAHhvXnHcQgKHrFTqRPTNQKQYQ7gyWaVaq0HlWLEbaKccWh4FgBkYmUSJBUU3l-Q5P2ub4kkhKCogoEOXMwD9GwTclnlk4owl8kTMfwZWeSmmrjQ8T4DAdTA_HH8jR3WHrHJraArWWMKIrpWgjzTWJY6_lypX9bwhqrC6tcKcjWgb97-CSOb6RW_G3Hxl8kpuKNKen-s76YHVbboxF3QtELpsVN&refId=3EVLtixERRHS6UhsDWc5bA%3D%3D&trackingId=M1NWaQkBXbkO%2BoDE1Ygiiw%3D%3D&trk=flagship3_search_srp_jobs
